IBEX 35®,"8.906,40",2021-10-24 17:44:47.489211
IBEX 35® con Dividendos,"27.318,50",2021-10-24 17:44:47.489211
IBEX MEDIUM CAP®,"13.741,50",2021-10-24 17:44:47.489211
IBEX SMALL CAP®,"8.195,10",2021-10-24 17:44:47.489211
IBEX 35® Bancos,"504,00",2021-10-24 17:44:47.489211
IBEX 35® Energía,"1.293,20",2021-10-24 17:44:47.489211
IBEX 35® Construcción,"1.557,20",2021-10-24 17:44:47.489211
IBEX TOP Dividendo®,"2.521,30",2021-10-24 17:44:47.489211
IBEX 35® con Dividendos Netos,"22.859,10",2021-10-24 17:44:47.489211
IBEX 35® Inverso,"2.168,20",2021-10-24 17:44:47.489211
IBEX 35® Doble Inverso,"234,90",2021-10-24 17:44:47.489211
IBEX 35® Inverso X3,"9.499,20",2021-10-24 17:44:47.489211
IBEX 35® Inverso X5,"995,00",2021-10-24 17:44:47.489211
IBEX 35® Inverso X10,"22,50",2021-10-24 17:44:47.489211
IBEX 35® Doble Apalancado,"4.176,60",2021-10-24 17:44:47.489211
IBEX 35® Doble Apalancado Bruto,"19.706,90",2021-10-24 17:44:47.489211
IBEX 35® Doble Apalancado Neto,"16.381,40",2021-10-24 17:44:47.489211
IBEX 35® Apalancado X3,"583,30",2021-10-24 17:44:47.489211
IBEX 35® Apalancado Neto X3,"6.931,90",2021-10-24 17:44:47.489211
IBEX 35® Apalancado Neto X5,"387,70",2021-10-24 17:44:47.489211
IBEX 35® Apalancado Neto X10,"362,70",2021-10-24 17:44:47.489211
IBEX 35® Capped Net Return,"22.921,60",2021-10-24 17:44:47.489211
IBEX 35® Impacto Div,"189,70",2021-10-24 17:44:47.489211
IBEX 35® Volatilidad Objetivo 10% Estándar,"182,10",2021-10-24 17:44:47.489211
IBEX 35® Volatilidad Objetivo 12% Estándar,"188,90",2021-10-24 17:44:47.489211
IBEX 35® Volatilidad Objetivo 15% Estándar,"194,60",2021-10-24 17:44:47.489211
IBEX 35® Volatilidad Objetivo 18% Estándar,"194,30",2021-10-24 17:44:47.489211
IBEX 35® Volatilidad Objetivo 10% Financiado,"132,00",2021-10-24 17:44:47.489211
IBEX 35® Volatilidad Objetivo 12% Financiado,"135,30",2021-10-24 17:44:47.489211
IBEX 35® Volatilidad Objetivo 15% Financiado,"141,60",2021-10-24 17:44:47.489211
IBEX 35® Volatilidad Objetivo 18% Financiado,"136,20",2021-10-24 17:44:47.489211
VIBEX®,"13,75",2021-10-24 17:44:47.489211
IBEX 35® Skew,"7,52",2021-10-24 17:44:47.489211
IBEX 35® BuyWrite,"1.447,23",2021-10-24 17:44:47.489211
IBEX 35® PutWrite,"1.386,20",2021-10-24 17:44:47.489211
IBEX 35® Protective Put,"693,18",2021-10-24 17:44:47.489211
IBEX 35® Venta de Strangle,"1.468,76",2021-10-24 17:44:47.489211
IBEX TOP Dividendo® Rentabilidad,"6.926,40",2021-10-24 17:44:47.489211
IBEX TOP Dividendo® Rentabilidad Neta,"5.716,10",2021-10-24 17:44:47.489211
IBEX MEDIUM CAP® con Dividendos,"15.705,70",2021-10-24 17:44:47.489211
IBEX MEDIUM CAP® con Dividendos Netos,"14.565,10",2021-10-24 17:44:47.489211
IBEX SMALL CAP® con Dividendos,"12.214,30",2021-10-24 17:44:47.489211
IBEX SMALL CAP® con Dividendos Netos,"11.747,90",2021-10-24 17:44:47.489211
IBEX Growth Market® 15,"2.450,00",2021-10-24 17:44:47.489710
IBEX Growth Market® All Share,"1.983,80",2021-10-24 17:44:47.489710
FTSE4Good IBEX,"9.405,60",2021-10-24 17:44:47.489710
FTSE4Good IBEX Total Return,"21.201,60",2021-10-24 17:44:47.489710
FTSE4Good IBEX Net Return,"18.730,70",2021-10-24 17:44:47.489710
FTSE Latibex All Share,"1.906,40",2021-10-24 17:44:47.489710
FTSE Latibex TOP,"4.627,20",2021-10-24 17:44:47.489710
FTSE Latibex BRASIL,"9.772,00",2021-10-24 17:44:47.489710
I.G.B.M.,"878,89",2021-10-24 17:44:47.489710
I.G.B.M. Total,"3.841,43",2021-10-24 17:44:47.489710
BCN GLOBAL 100 (Base 1986),"686,94",2021-10-24 17:44:47.489710
BCN GLOBAL 100 (Base 1963),"1.765,54",2021-10-24 17:44:47.489710
BCN MID 50,"25.559,59",2021-10-24 17:44:47.489710
BCN PROFIT-30,"10.476,05",2021-10-24 17:44:47.489710
BCN ROE-30,"17.133,33",2021-10-24 17:44:47.489710
BCN PER-30,"16.791,85",2021-10-24 17:44:47.489710
BCN INDEXCAT,"22.919,81",2021-10-24 17:44:47.489710
I.BILBAO 2000,"1.412,63",2021-10-24 17:44:47.489710
I.G.B.V.,"1.277,73",2021-10-24 17:44:47.489710
Índice TEF Apalancado X3,"225,70",2021-10-24 17:44:47.489710
Índice SAN Apalancado X3,"427,10",2021-10-24 17:44:47.489710
Índice BBVA Apalancado X3,"649,60",2021-10-24 17:44:47.489710
Índice ITX Apalancado X3,"4.219,50",2021-10-24 17:44:47.489710
Índice TEF Apalancado X5,"215,40",2021-10-24 17:44:47.489710
Índice SAN Apalancado X5,"2.163,60",2021-10-24 17:44:47.489710
Índice BBVA Apalancado X5,"632,40",2021-10-24 17:44:47.489710
Índice ITX Apalancado X5,"272,90",2021-10-24 17:44:47.489710
Índice TEF Inverso X3,"1.123,00",2021-10-24 17:44:47.489710
Índice SAN Inverso X3,"37,60",2021-10-24 17:44:47.489710
Índice BBVA Inverso X3,"32,60",2021-10-24 17:44:47.489710
Índice ITX Inverso X3,"189,90",2021-10-24 17:44:47.489710
Índice TEF Inverso X5,"17,50",2021-10-24 17:44:47.489710
Índice SAN Inverso X5,"3.361,20",2021-10-24 17:44:47.489710
Índice BBVA Inverso X5,"7.455,90",2021-10-24 17:44:47.489710
Índice ITX Inverso X5,"1.033,00",2021-10-24 17:44:47.489710
IBEX 35®,"8.906,40",2021-10-24 17:45:03.833637
IBEX 35® con Dividendos,"27.318,50",2021-10-24 17:45:03.833637
IBEX MEDIUM CAP®,"13.741,50",2021-10-24 17:45:03.833637
IBEX SMALL CAP®,"8.195,10",2021-10-24 17:45:03.833637
IBEX 35® Bancos,"504,00",2021-10-24 17:45:03.833637
IBEX 35® Energía,"1.293,20",2021-10-24 17:45:03.833637
IBEX 35® Construcción,"1.557,20",2021-10-24 17:45:03.833637
IBEX TOP Dividendo®,"2.521,30",2021-10-24 17:45:03.833637
IBEX 35® con Dividendos Netos,"22.859,10",2021-10-24 17:45:03.833637
IBEX 35® Inverso,"2.168,20",2021-10-24 17:45:03.833637
IBEX 35® Doble Inverso,"234,90",2021-10-24 17:45:03.833637
IBEX 35® Inverso X3,"9.499,20",2021-10-24 17:45:03.833637
IBEX 35® Inverso X5,"995,00",2021-10-24 17:45:03.833637
IBEX 35® Inverso X10,"22,50",2021-10-24 17:45:03.833637
IBEX 35® Doble Apalancado,"4.176,60",2021-10-24 17:45:03.833637
IBEX 35® Doble Apalancado Bruto,"19.706,90",2021-10-24 17:45:03.833637
IBEX 35® Doble Apalancado Neto,"16.381,40",2021-10-24 17:45:03.833637
IBEX 35® Apalancado X3,"583,30",2021-10-24 17:45:03.833637
IBEX 35® Apalancado Neto X3,"6.931,90",2021-10-24 17:45:03.833637
IBEX 35® Apalancado Neto X5,"387,70",2021-10-24 17:45:03.833637
IBEX 35® Apalancado Neto X10,"362,70",2021-10-24 17:45:03.833637
IBEX 35® Capped Net Return,"22.921,60",2021-10-24 17:45:03.833637
IBEX 35® Impacto Div,"189,70",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 10% Estándar,"182,10",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 12% Estándar,"188,90",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 15% Estándar,"194,60",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 18% Estándar,"194,30",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 10% Financiado,"132,00",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 12% Financiado,"135,30",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 15% Financiado,"141,60",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 18% Financiado,"136,20",2021-10-24 17:45:03.833637
VIBEX®,"13,75",2021-10-24 17:45:03.833637
IBEX 35® Skew,"7,52",2021-10-24 17:45:03.833637
IBEX 35® BuyWrite,"1.447,23",2021-10-24 17:45:03.833637
IBEX 35® PutWrite,"1.386,20",2021-10-24 17:45:03.833637
IBEX 35® Protective Put,"693,18",2021-10-24 17:45:03.833637
IBEX 35® Venta de Strangle,"1.468,76",2021-10-24 17:45:03.833637
IBEX TOP Dividendo® Rentabilidad,"6.926,40",2021-10-24 17:45:03.833637
IBEX TOP Dividendo® Rentabilidad Neta,"5.716,10",2021-10-24 17:45:03.833637
IBEX MEDIUM CAP® con Dividendos,"15.705,70",2021-10-24 17:45:03.833637
IBEX MEDIUM CAP® con Dividendos Netos,"14.565,10",2021-10-24 17:45:03.833637
IBEX SMALL CAP® con Dividendos,"12.214,30",2021-10-24 17:45:03.833637
IBEX SMALL CAP® con Dividendos Netos,"11.747,90",2021-10-24 17:45:03.833637
IBEX Growth Market® 15,"2.450,00",2021-10-24 17:45:03.833637
IBEX Growth Market® All Share,"1.983,80",2021-10-24 17:45:03.833637
FTSE4Good IBEX,"9.405,60",2021-10-24 17:45:03.833637
FTSE4Good IBEX Total Return,"21.201,60",2021-10-24 17:45:03.833637
FTSE4Good IBEX Net Return,"18.730,70",2021-10-24 17:45:03.833637
FTSE Latibex All Share,"1.906,40",2021-10-24 17:45:03.833637
FTSE Latibex TOP,"4.627,20",2021-10-24 17:45:03.833637
FTSE Latibex BRASIL,"9.772,00",2021-10-24 17:45:03.833637
I.G.B.M.,"878,89",2021-10-24 17:45:03.833637
I.G.B.M. Total,"3.841,43",2021-10-24 17:45:03.833637
BCN GLOBAL 100 (Base 1986),"686,94",2021-10-24 17:45:03.833637
BCN GLOBAL 100 (Base 1963),"1.765,54",2021-10-24 17:45:03.833637
BCN MID 50,"25.559,59",2021-10-24 17:45:03.833637
BCN PROFIT-30,"10.476,05",2021-10-24 17:45:03.833637
BCN ROE-30,"17.133,33",2021-10-24 17:45:03.833637
BCN PER-30,"16.791,85",2021-10-24 17:45:03.833637
BCN INDEXCAT,"22.919,81",2021-10-24 17:45:03.833637
I.BILBAO 2000,"1.412,63",2021-10-24 17:45:03.833637
I.G.B.V.,"1.277,73",2021-10-24 17:45:03.833637
Índice TEF Apalancado X3,"225,70",2021-10-24 17:45:03.833637
Índice SAN Apalancado X3,"427,10",2021-10-24 17:45:03.833637
Índice BBVA Apalancado X3,"649,60",2021-10-24 17:45:03.833637
Índice ITX Apalancado X3,"4.219,50",2021-10-24 17:45:03.833637
Índice TEF Apalancado X5,"215,40",2021-10-24 17:45:03.833637
Índice SAN Apalancado X5,"2.163,60",2021-10-24 17:45:03.833637
Índice BBVA Apalancado X5,"632,40",2021-10-24 17:45:03.833637
Índice ITX Apalancado X5,"272,90",2021-10-24 17:45:03.833637
Índice TEF Inverso X3,"1.123,00",2021-10-24 17:45:03.833637
Índice SAN Inverso X3,"37,60",2021-10-24 17:45:03.833637
Índice BBVA Inverso X3,"32,60",2021-10-24 17:45:03.833637
Índice ITX Inverso X3,"189,90",2021-10-24 17:45:03.833637
Índice TEF Inverso X5,"17,50",2021-10-24 17:45:03.833637
Índice SAN Inverso X5,"3.361,20",2021-10-24 17:45:03.833637
Índice BBVA Inverso X5,"7.455,90",2021-10-24 17:45:03.833637
Índice ITX Inverso X5,"1.033,00",2021-10-24 17:45:03.833637
